order_id,origin_hub,destination_town,distance_km,vehicle_type,road_condition,weather,traffic_level,order_type,num_stops,package_weight_kg,rider_experience_years,time_of_day,day_of_week,is_weekend,network_signal,delivery_time_minutes
ORD10033,Birnin Kebbi Hub,Jega,57.4,Keke (Tricycle),Unpaved,Clear,High,Bulk Goods,1,26.3,4.8,Morning,Wednesday,False,Weak,357.5
ORD10034,Birnin Kebbi Hub,Argungu,64.1,Motorcycle,Paved,Clear,High,Documents,4,22.8,5.0,Morning,Friday,False,No Signal,171.1
ORD10035,Birnin Kebbi Hub,Bunza,48.4,Motorcycle,Unpaved,Harmattan Dust,Low,Food,1,1.8,2.8,Midday,Wednesday,False,Weak,130.2
ORD10036,Birnin Kebbi Hub,Jega,68.6,Van,Paved,Clear,Low,Documents,1,4.9,6.6,Midday,Thursday,False,No Signal,97.1
ORD10037,Birnin Kebbi Hub,Bunza,51.9,Motorcycle,Paved,Rain,Medium,Bulk Goods,0,33.9,1.9,Morning,Thursday,False,Strong,151.5
ORD10038,Birnin Kebbi Hub,Birnin Kebbi,3.0,Motorcycle,Paved,Clear,Medium,Food,1,2.0,4.9,Morning,Thursday,False,Strong,19.0
ORD10039,Birnin Kebbi Hub,Kamba,156.0,Motorcycle,Paved,Clear,Low,Parcel,0,0.4,2.0,Morning,Monday,False,Weak,180.8
ORD10040,Birnin Kebbi Hub,Zuru,164.9,Van,Paved,Harmattan Dust,Low,Documents,1,0.8,2.5,Evening,Saturday,True,Strong,227.4
ORD10041,Birnin Kebbi Hub,Zuru,214.5,Motorcycle,Paved,Clear,Medium,Documents,1,0.2,1.6,Evening,Monday,False,Weak,313.1
ORD10042,Birnin Kebbi Hub,Birnin Kebbi,8.4,Motorcycle,Paved,Clear,Low,Food,0,4.2,2.6,Morning,Sunday,True,Weak,44.1
ORD10043,Birnin Kebbi Hub,Bunza,52.5,Motorcycle,Unpaved,Clear,Medium,Parcel,0,1.6,1.3,Evening,Wednesday,False,Strong,132.0
ORD10044,Birnin Kebbi Hub,Jega,56.1,Van,Unpaved,Clear,Medium,Documents,2,5.1,4.1,Afternoon,Wednesday,False,Weak,154.9
ORD10045,Birnin Kebbi Hub,Zuru,193.8,Keke (Tricycle),Unpaved,Rain,Low,Food,3,1.5,0.4,Morning,Sunday,True,Weak,978.2
ORD10046,Birnin Kebbi Hub,Birnin Kebbi,4.8,Motorcycle,Paved,Clear,Medium,Food,2,0.5,2.6,Afternoon,Thursday,False,Strong,24.7
ORD10047,Birnin Kebbi Hub,Yauri,136.2,Keke (Tricycle),Unpaved,Clear,High,Documents,2,7.0,1.3,Evening,Thursday,False,Strong,792.4
ORD10048,Birnin Kebbi Hub,Kamba,131.6,Keke (Tricycle),Unpaved,Harmattan Dust,Medium,Food,1,1.8,7.2,Morning,Saturday,True,Strong,660.8
ORD10049,Birnin Kebbi Hub,Argungu,53.1,Motorcycle,Unpaved,Rain,Low,Bulk Goods,0,32.6,4.2,Morning,Saturday,True,Weak,203.9
ORD10050,Birnin Kebbi Hub,Bunza,42.8,Keke (Tricycle),Paved,Clear,Medium,Food,0,2.7,2.6,Evening,Tuesday,False,Strong,108.2
ORD10051,Birnin Kebbi Hub,Zuru,223.2,Keke (Tricycle),Unpaved,Harmattan Dust,Low,Parcel,0,1.4,3.7,Morning,Monday,False,Strong,883.3
ORD10052,Birnin Kebbi Hub,Zuru,161.1,Van,Paved,Rain,Medium,Documents,0,0.3,2.5,Evening,Monday,False,No Signal,317.9
ORD10053,Birnin Kebbi Hub,Aliero,34.5,Van,Unpaved,Clear,High,Food,1,2.0,1.9,Morning,Tuesday,False,Strong,134.5
ORD10054,Birnin Kebbi Hub,Argungu,71.4,Motorcycle,Unpaved,Clear,Medium,Parcel,0,0.6,2.3,Midday,Thursday,False,Strong,183.2
ORD10055,Birnin Kebbi Hub,Kamba,151.7,Keke (Tricycle),Unpaved,Clear,Low,Bulk Goods,0,14.7,2.2,Evening,Saturday,True,Weak,497.0
ORD10056,Birnin Kebbi Hub,Birnin Kebbi,5.8,Motorcycle,Paved,Clear,Medium,Parcel,2,2.4,2.4,Afternoon,Monday,False,Strong,23.4
ORD10057,Birnin Kebbi Hub,Birnin Kebbi,6.4,Van,Paved,Harmattan Dust,Low,Food,0,0.2,3.1,Morning,Monday,False,Strong,15.7
ORD10058,Birnin Kebbi Hub,Birnin Kebbi,6.2,Motorcycle,Paved,Rain,Low,Parcel,1,7.7,2.0,Morning,Thursday,False,Weak,31.7
ORD10059,Birnin Kebbi Hub,Yauri,142.0,Motorcycle,Paved,Clear,Low,Parcel,1,2.2,0.7,Midday,Sunday,True,Strong,168.5
ORD10060,Birnin Kebbi Hub,Kamba,160.9,Motorcycle,Unpaved,Clear,Medium,Parcel,2,2.7,1.7,Evening,Monday,False,Weak,427.6
ORD10061,Birnin Kebbi Hub,Kamba,129.5,Van,Paved,Harmattan Dust,Low,Parcel,0,9.8,1.5,Morning,Monday,False,Strong,189.6
ORD10062,Birnin Kebbi Hub,Jega,59.7,Motorcycle,Paved,Clear,High,Bulk Goods,1,33.7,0.3,Evening,Tuesday,False,Strong,144.6
ORD10063,Birnin Kebbi Hub,Zuru,184.0,Motorcycle,Paved,Clear,Low,Documents,0,3.3,1.1,Evening,Saturday,True,Strong,204.9
ORD10064,Birnin Kebbi Hub,Bunza,44.3,Motorcycle,Unpaved,Harmattan Dust,High,Parcel,1,2.6,0.7,Evening,Wednesday,False,Weak,209.4
ORD10065,Birnin Kebbi Hub,Bunza,50.3,Truck,Unpaved,Rain,Medium,Parcel,3,5.7,1.3,Morning,Sunday,True,Weak,299.0
ORD10066,Birnin Kebbi Hub,Yauri,160.2,Keke (Tricycle),Paved,Rain,Medium,Parcel,1,29.4,0.7,Evening,Friday,False,Weak,579.6
ORD10067,Birnin Kebbi Hub,Birnin Kebbi,5.6,Van,Paved,Rain,Medium,Food,1,4.2,0.9,Afternoon,Thursday,False,Weak,38.8
ORD10068,Birnin Kebbi Hub,Bunza,50.5,Motorcycle,Unpaved,Clear,Medium,Food,1,2.9,4.3,Morning,Tuesday,False,No Signal,147.6
ORD10069,Birnin Kebbi Hub,Birnin Kebbi,5.1,Truck,Paved,Clear,Low,Parcel,0,2.6,0.7,Afternoon,Sunday,True,Strong,24.8
ORD10070,Birnin Kebbi Hub,Bunza,41.4,Keke (Tricycle),Paved,Clear,Low,Bulk Goods,1,21.9,1.8,Afternoon,Tuesday,False,Weak,101.7
ORD10071,Birnin Kebbi Hub,Birnin Kebbi,6.5,Van,Unpaved,Rain,High,Documents,0,2.1,2.3,Midday,Friday,False,Weak,41.1
ORD10072,Birnin Kebbi Hub,Aliero,34.6,Van,Unpaved,Harmattan Dust,Low,Food,1,3.0,2.4,Morning,Wednesday,False,Weak,94.0
ORD10073,Birnin Kebbi Hub,Birnin Kebbi,6.4,Keke (Tricycle),Paved,Clear,High,Parcel,0,8.8,0.5,Afternoon,Tuesday,False,Weak,47.6
ORD10074,Birnin Kebbi Hub,Birnin Kebbi,10.0,Motorcycle,Paved,Clear,Medium,Food,0,1.0,1.4,Midday,Friday,False,Weak,26.9
ORD10075,Birnin Kebbi Hub,Kamba,131.8,Keke (Tricycle),Paved,Clear,High,Documents,1,7.6,4.4,Midday,Friday,False,Weak,435.5
ORD10076,Birnin Kebbi Hub,Kamba,159.6,Van,Unpaved,Clear,High,Parcel,2,0.6,4.9,Morning,Tuesday,False,Weak,553.9
ORD10077,Birnin Kebbi Hub,Bunza,46.0,Keke (Tricycle),Unpaved,Clear,Medium,Documents,0,5.7,2.2,Evening,Tuesday,False,Strong,193.6
ORD10078,Birnin Kebbi Hub,Birnin Kebbi,6.4,Truck,Paved,Rain,Low,Documents,0,3.5,4.9,Morning,Saturday,True,No Signal,25.6
ORD10079,Birnin Kebbi Hub,Aliero,32.7,Van,Paved,Clear,Low,Food,2,4.6,2.9,Evening,Tuesday,False,No Signal,56.2
ORD10080,Birnin Kebbi Hub,Birnin Kebbi,1.6,Van,Paved,Rain,Low,Food,1,1.3,3.5,Afternoon,Thursday,False,Strong,22.9
ORD10081,Birnin Kebbi Hub,Birnin Kebbi,5.9,Van,Paved,Clear,Low,Food,0,8.0,2.6,Midday,Thursday,False,Strong,16.0
ORD10082,Birnin Kebbi Hub,Jega,58.0,Van,Unpaved,Rain,Low,Parcel,3,3.8,2.0,Morning,Saturday,True,Weak,219.0
ORD10083,Birnin Kebbi Hub,Argungu,64.7,Motorcycle,Paved,Clear,Medium,Parcel,0,0.2,0.5,Evening,Tuesday,False,Weak,91.2
ORD10084,Birnin Kebbi Hub,Zuru,196.4,Van,Paved,Rain,Medium,Parcel,0,17.3,2.2,Morning,Monday,False,Weak,389.7
ORD10085,Birnin Kebbi Hub,Birnin Kebbi,6.4,Motorcycle,Paved,Clear,Low,Parcel,0,3.4,0.2,Morning,Sunday,True,Strong,37.2
ORD10086,Birnin Kebbi Hub,Birnin Kebbi,7.8,Truck,Paved,Clear,Medium,Bulk Goods,1,26.7,2.4,Afternoon,Sunday,True,Weak,56.8
ORD10087,Birnin Kebbi Hub,Bunza,43.0,Motorcycle,Paved,Clear,High,Parcel,4,1.6,2.5,Midday,Friday,False,Weak,130.0
ORD10088,Birnin Kebbi Hub,Zuru,177.9,Motorcycle,Unpaved,Harmattan Dust,Medium,Parcel,1,0.3,4.6,Evening,Thursday,False,Weak,562.3
ORD10089,Birnin Kebbi Hub,Zuru,180.6,Keke (Tricycle),Unpaved,Clear,Low,Parcel,1,3.6,6.0,Midday,Tuesday,False,No Signal,575.5
ORD10090,Birnin Kebbi Hub,Argungu,54.4,Keke (Tricycle),Paved,Harmattan Dust,Medium,Food,1,4.0,2.6,Midday,Friday,False,Strong,147.0
ORD10091,Birnin Kebbi Hub,Birnin Kebbi,9.2,Keke (Tricycle),Paved,Rain,Medium,Parcel,0,7.8,0.4,Morning,Thursday,False,Strong,50.2
ORD10092,Birnin Kebbi Hub,Birnin Kebbi,7.0,Motorcycle,Paved,Clear,Low,Documents,0,1.1,5.8,Morning,Thursday,False,Strong,22.4
ORD10093,Birnin Kebbi Hub,Zuru,173.1,Van,Unpaved,Harmattan Dust,High,Parcel,0,1.3,7.9,Evening,Friday,False,No Signal,727.4
ORD10094,Birnin Kebbi Hub,Argungu,64.4,Keke (Tricycle),Paved,Clear,High,Bulk Goods,0,41.3,2.0,Morning,Sunday,True,Weak,252.6
ORD10095,Birnin Kebbi Hub,Birnin Kebbi,4.1,Keke (Tricycle),Paved,Harmattan Dust,Medium,Food,2,0.8,3.4,Midday,Sunday,True,No Signal,40.2
ORD10096,Birnin Kebbi Hub,Kamba,173.7,Van,Paved,Clear,High,Food,1,1.0,0.8,Afternoon,Saturday,True,Weak,356.8
ORD10097,Birnin Kebbi Hub,Aliero,39.2,Van,Unpaved,Clear,High,Food,0,4.4,1.8,Morning,Friday,False,Weak,154.8
ORD10098,Birnin Kebbi Hub,Birnin Kebbi,5.5,Keke (Tricycle),Paved,Clear,Low,Parcel,1,2.0,0.5,Afternoon,Saturday,True,Strong,34.2
ORD10099,Birnin Kebbi Hub,Kamba,158.3,Keke (Tricycle),Unpaved,Clear,Medium,Food,0,1.7,5.9,Morning,Friday,False,Strong,612.2
ORD10100,Birnin Kebbi Hub,Bunza,42.1,Keke (Tricycle),Paved,Rain,High,Food,2,0.3,2.4,Morning,Friday,False,Weak,232.5
ORD10101,Birnin Kebbi Hub,Birnin Kebbi,6.8,Keke (Tricycle),Unpaved,Rain,Medium,Food,0,5.1,0.8,Evening,Thursday,False,Weak,49.5
ORD10102,Birnin Kebbi Hub,Jega,55.4,Van,Paved,Clear,Medium,Parcel,3,2.2,3.1,Evening,Sunday,True,Weak,96.2
ORD10103,Birnin Kebbi Hub,Bunza,52.2,Keke (Tricycle),Paved,Clear,High,Documents,1,1.2,3.0,Midday,Wednesday,False,No Signal,189.0
ORD10104,Birnin Kebbi Hub,Jega,58.8,Motorcycle,Paved,Clear,Low,Bulk Goods,0,18.5,0.8,Afternoon,Tuesday,False,Strong,85.8
ORD10105,Birnin Kebbi Hub,Kamba,151.2,Keke (Tricycle),Paved,Clear,Medium,Parcel,0,6.8,0.5,Midday,Tuesday,False,No Signal,340.0
ORD10106,Birnin Kebbi Hub,Kamba,154.6,Keke (Tricycle),Paved,Clear,Low,Food,0,7.1,1.4,Midday,Saturday,True,Weak,285.8
ORD10107,Birnin Kebbi Hub,Zuru,174.7,Motorcycle,Paved,Clear,Low,Bulk Goods,0,29.0,0.5,Morning,Friday,False,Weak,222.3
ORD10108,Birnin Kebbi Hub,Argungu,69.1,Motorcycle,Paved,Harmattan Dust,Low,Bulk Goods,0,15.5,4.0,Evening,Friday,False,Strong,113.3
ORD10109,Birnin Kebbi Hub,Birnin Kebbi,6.9,Keke (Tricycle),Paved,Clear,Low,Parcel,0,1.7,2.8,Morning,Wednesday,False,Strong,33.3
ORD10110,Birnin Kebbi Hub,Birnin Kebbi,6.1,Truck,Paved,Harmattan Dust,Medium,Food,1,2.0,0.1,Evening,Wednesday,False,Weak,40.1
ORD10111,Birnin Kebbi Hub,Bunza,41.2,Motorcycle,Paved,Harmattan Dust,Low,Parcel,0,12.6,3.0,Afternoon,Monday,False,Weak,67.3
ORD10112,Birnin Kebbi Hub,Kamba,136.3,Motorcycle,Unpaved,Harmattan Dust,Low,Bulk Goods,2,18.1,4.2,Evening,Thursday,False,Weak,344.4
ORD10113,Birnin Kebbi Hub,Birnin Kebbi,7.3,Van,Unpaved,Clear,Low,Parcel,1,1.8,2.4,Morning,Wednesday,False,Strong,35.2
ORD10114,Birnin Kebbi Hub,Zuru,148.0,Keke (Tricycle),Paved,Clear,Low,Parcel,2,1.2,3.2,Morning,Sunday,True,Strong,277.1
ORD10115,Birnin Kebbi Hub,Birnin Kebbi,4.8,Keke (Tricycle),Paved,Harmattan Dust,Medium,Food,1,1.7,1.4,Midday,Saturday,True,Strong,34.7
ORD10116,Birnin Kebbi Hub,Birnin Kebbi,5.8,Motorcycle,Paved,Clear,Medium,Food,0,3.9,4.1,Morning,Tuesday,False,Strong,18.4
ORD10117,Birnin Kebbi Hub,Birnin Kebbi,3.2,Keke (Tricycle),Paved,Clear,Low,Parcel,2,1.1,1.1,Morning,Monday,False,Weak,34.0
ORD10118,Birnin Kebbi Hub,Aliero,39.3,Motorcycle,Unpaved,Clear,High,Documents,0,1.3,2.0,Afternoon,Wednesday,False,Weak,160.0
ORD10119,Birnin Kebbi Hub,Argungu,53.2,Van,Unpaved,Clear,Low,Bulk Goods,0,11.3,1.7,Morning,Friday,False,Weak,100.8
ORD10120,Birnin Kebbi Hub,Bunza,46.0,Truck,Unpaved,Harmattan Dust,Medium,Parcel,0,3.2,1.1,Morning,Sunday,True,Weak,195.5
ORD10121,Birnin Kebbi Hub,Birnin Kebbi,5.6,Truck,Unpaved,Clear,Low,Parcel,0,0.5,2.0,Evening,Sunday,True,Weak,21.8
ORD10122,Birnin Kebbi Hub,Birnin Kebbi,6.7,Motorcycle,Paved,Clear,Low,Food,0,0.7,2.7,Morning,Saturday,True,Strong,23.5
ORD10123,Birnin Kebbi Hub,Aliero,29.9,Van,Paved,Clear,Medium,Parcel,4,5.5,4.7,Midday,Thursday,False,Strong,85.3
ORD10124,Birnin Kebbi Hub,Birnin Kebbi,4.4,Keke (Tricycle),Paved,Rain,Medium,Parcel,3,2.7,1.5,Morning,Friday,False,Weak,45.7
ORD10125,Birnin Kebbi Hub,Kamba,142.7,Van,Paved,Clear,Medium,Documents,1,8.5,1.0,Morning,Tuesday,False,Weak,213.0
ORD10126,Birnin Kebbi Hub,Jega,49.3,Keke (Tricycle),Paved,Rain,Medium,Food,2,7.3,3.9,Evening,Wednesday,False,Weak,192.0
ORD10127,Birnin Kebbi Hub,Bunza,39.2,Motorcycle,Unpaved,Rain,Low,Parcel,1,0.2,2.2,Afternoon,Saturday,True,Strong,138.6
ORD10128,Birnin Kebbi Hub,Argungu,55.8,Van,Unpaved,Clear,Low,Parcel,1,0.2,9.7,Afternoon,Thursday,False,Strong,114.9
ORD10129,Birnin Kebbi Hub,Kamba,147.6,Keke (Tricycle),Paved,Harmattan Dust,High,Food,0,0.5,1.1,Morning,Tuesday,False,Strong,594.7
ORD10130,Birnin Kebbi Hub,Birnin Kebbi,7.8,Motorcycle,Paved,Rain,Low,Food,4,5.5,2.7,Morning,Friday,False,Weak,39.9
ORD10131,Birnin Kebbi Hub,Kamba,168.2,Van,Paved,Rain,High,Parcel,0,2.5,3.6,Morning,Tuesday,False,No Signal,495.0
ORD10132,Birnin Kebbi Hub,Birnin Kebbi,8.9,Van,Paved,Harmattan Dust,Low,Parcel,0,0.6,3.6,Morning,Saturday,True,Strong,25.8
ORD10133,Birnin Kebbi Hub,Birnin Kebbi,7.8,Truck,Paved,Clear,High,Parcel,0,7.7,1.2,Morning,Tuesday,False,Weak,29.7
ORD10134,Birnin Kebbi Hub,Jega,47.8,Motorcycle,Unpaved,Clear,Medium,Parcel,2,2.0,3.1,Morning,Tuesday,False,No Signal,150.3
ORD10135,Birnin Kebbi Hub,Birnin Kebbi,4.3,Motorcycle,Unpaved,Clear,High,Parcel,0,5.1,3.4,Midday,Sunday,True,Weak,33.7
ORD10136,Birnin Kebbi Hub,Birnin Kebbi,6.1,Motorcycle,Paved,Clear,Medium,Food,0,7.5,0.8,Midday,Tuesday,False,Strong,20.6
ORD10137,Birnin Kebbi Hub,Jega,65.8,Motorcycle,Paved,Rain,Low,Bulk Goods,2,23.0,1.8,Afternoon,Sunday,True,Weak,155.2
ORD10138,Birnin Kebbi Hub,Birnin Kebbi,4.3,Motorcycle,Paved,Harmattan Dust,Medium,Food,1,0.4,0.6,Morning,Saturday,True,Strong,25.3
ORD10139,Birnin Kebbi Hub,Bunza,40.6,Motorcycle,Paved,Clear,Low,Parcel,1,1.3,1.8,Midday,Sunday,True,Strong,61.2
ORD10140,Birnin Kebbi Hub,Bunza,50.2,Keke (Tricycle),Unpaved,Clear,Low,Bulk Goods,0,30.7,2.0,Evening,Wednesday,False,Strong,180.6
ORD10141,Birnin Kebbi Hub,Jega,57.2,Motorcycle,Paved,Harmattan Dust,Low,Documents,0,23.3,1.4,Afternoon,Sunday,True,Strong,106.7
ORD10142,Birnin Kebbi Hub,Birnin Kebbi,6.6,Van,Paved,Clear,High,Parcel,0,10.0,2.7,Morning,Sunday,True,Weak,30.7
ORD10143,Birnin Kebbi Hub,Argungu,70.7,Van,Paved,Clear,Low,Parcel,1,2.2,1.3,Morning,Sunday,True,Strong,91.6
ORD10144,Birnin Kebbi Hub,Bunza,55.9,Keke (Tricycle),Unpaved,Harmattan Dust,Low,Parcel,1,0.4,1.0,Morning,Sunday,True,Strong,245.9
ORD10145,Birnin Kebbi Hub,Kamba,142.1,Motorcycle,Paved,Clear,Low,Food,3,8.2,7.3,Morning,Thursday,False,Weak,184.6
ORD10146,Birnin Kebbi Hub,Kamba,135.9,Keke (Tricycle),Paved,Clear,Medium,Bulk Goods,0,41.2,1.9,Midday,Saturday,True,No Signal,329.0
ORD10147,Birnin Kebbi Hub,Birnin Kebbi,5.1,Van,Paved,Rain,Low,Bulk Goods,1,36.4,3.7,Evening,Thursday,False,Strong,30.1
ORD10148,Birnin Kebbi Hub,Birnin Kebbi,9.7,Motorcycle,Paved,Clear,Low,Food,0,1.4,4.2,Evening,Sunday,True,Strong,30.6
ORD10149,Birnin Kebbi Hub,Birnin Kebbi,6.1,Motorcycle,Paved,Harmattan Dust,Low,Parcel,3,4.4,4.8,Midday,Monday,False,Strong,24.1
ORD10150,Birnin Kebbi Hub,Yauri,164.6,Keke (Tricycle),Paved,Clear,Low,Parcel,3,2.4,3.3,Afternoon,Thursday,False,Strong,320.8
ORD10151,Birnin Kebbi Hub,Jega,53.6,Truck,Paved,Clear,High,Parcel,0,3.7,0.4,Morning,Thursday,False,Weak,140.5
ORD10152,Birnin Kebbi Hub,Kamba,96.4,Keke (Tricycle),Paved,Clear,Medium,Food,2,0.2,2.7,Midday,Friday,False,Strong,227.2
ORD10153,Birnin Kebbi Hub,Birnin Kebbi,5.0,Motorcycle,Paved,Harmattan Dust,High,Food,2,3.4,2.0,Evening,Wednesday,False,Strong,34.6
ORD10154,Birnin Kebbi Hub,Birnin Kebbi,5.8,Motorcycle,Unpaved,Rain,Medium,Parcel,1,1.4,3.5,Evening,Friday,False,Weak,38.3
ORD10155,Birnin Kebbi Hub,Birnin Kebbi,5.2,Keke (Tricycle),Paved,Harmattan Dust,Low,Food,0,9.2,3.3,Morning,Sunday,True,Weak,46.4
ORD10156,Birnin Kebbi Hub,Kamba,122.1,Van,Paved,Clear,Low,Parcel,0,0.8,5.3,Morning,Saturday,True,Strong,140.4
ORD10157,Birnin Kebbi Hub,Birnin Kebbi,2.6,Keke (Tricycle),Paved,Clear,Low,Food,0,5.2,1.3,Afternoon,Friday,False,Weak,36.1
ORD10158,Birnin Kebbi Hub,Birnin Kebbi,4.5,Motorcycle,Paved,Rain,Medium,Documents,2,9.9,0.3,Afternoon,Wednesday,False,Weak,37.9
ORD10159,Birnin Kebbi Hub,Zuru,158.7,Motorcycle,Paved,Clear,High,Parcel,0,0.2,5.7,Afternoon,Wednesday,False,Strong,323.2
ORD10160,Birnin Kebbi Hub,Argungu,59.4,Keke (Tricycle),Paved,Rain,Low,Bulk Goods,0,18.9,1.5,Afternoon,Friday,False,Strong,182.1
ORD10161,Birnin Kebbi Hub,Birnin Kebbi,5.8,Motorcycle,Paved,Clear,Medium,Parcel,3,0.5,1.6,Morning,Wednesday,False,No Signal,48.3
ORD10162,Birnin Kebbi Hub,Aliero,36.6,Motorcycle,Paved,Harmattan Dust,Low,Parcel,0,0.7,6.6,Afternoon,Sunday,True,Strong,75.8
ORD10163,Birnin Kebbi Hub,Argungu,58.9,Motorcycle,Paved,Clear,High,Food,0,3.5,1.3,Morning,Friday,False,Weak,121.2
ORD10164,Birnin Kebbi Hub,Aliero,33.8,Van,Unpaved,Rain,Medium,Parcel,0,0.2,10.3,Evening,Wednesday,False,No Signal,116.6
ORD10165,Birnin Kebbi Hub,Zuru,203.5,Motorcycle,Paved,Rain,Medium,Parcel,2,11.5,2.3,Morning,Tuesday,False,No Signal,468.8
